Q,A
"If the contents of the view are closely related to the touch itself, you may handle touch events directly.","뷰의 콘텐츠들이 터치 자체에 긴밀하게 관련되는 경우, 당신은 터치 이벤트들을 직접 처리할 수 있다."
The positioning component 614 can be used to determine the location of the computer system 600.,위치확인 컴포넌트(614)는 컴퓨터 시스템(600)의 위치를 결정하기 위해 사용될 수 있다.
"That is, the reduced model generation module 125 processes an existing line as an upper layer and an inner loop as a lower layer.","즉, 축약모델 생성모듈(125)은 기존 배치된 선로를 상단 레이어로 내부 루프를 하단 레이어로 처리한다."
Extraction unit 122 may extract features or characteristics of the EEG signals preprocessed by preprocessor 121.,추출부(122)는 전처리부(121)에 의해 전처리된 뇌파 신호들의 특징들 또는 특성들을 추출할 수 있다.
"The content may have a viewing level, and the electronic device may play content corresponding to the user's level.","상기 콘텐츠는 열람 등급이 설정될 수 있으며, 상기 전자 장치는 사용자의 등급에 해당하는 콘텐츠를 재생할 수 있다."
"As discussed later, in some cases, the decision may be made simply based on a threshold of amplitude.","나중에 논의하는 바와 같이, 몇몇 경우에, 결정은, 단순히, 진폭의 임계치에 기초하여 이루어질 수 있다."
"The elastic member 1241 may include a spring, an air spring, and a high density sponge.","탄성부재(1241)는 스프링, 에어 스프링, 및 고밀도 스폰지 등을 포함할 수 있다."
"Through this, a user wearing the electronic device 101 can view the content through at least a part of the second area 204.","이를 통해, 전자 장치(101)를 착용한 사용자가 제2 영역(204)의 적어도 일부를 통하여 콘텐트를 볼 수 있다."
These labels can both be visible when components are activated and deactivated.,이러한 라벨들은 컴포넌트들이 활성화 및 비활성화될 때 모두 가시화될 수 있다.
"According to this configuration, the control logic may include a gate for ORing the authentication key value and the enable signal value.",일실시예에 따르면 상기 컨트롤 로직은 상기 인증 키 값과 인에이블 신호 값을 OR 연산하는 게이트를 포함할 수 있다.
The image plagiarism inspection apparatus 130 may obtain an image having a size of 88*88 through a one-step convolution operation.,영상표절 검사 장치(130)는 1단계 합성곱 연산을 통해 88*88 크기의 영상을 얻을 수 있다.
The input unit 120 may be configured with a side key or a separately provided touch pad.,입력부(120)는 사이드 키나 별도로 마련된 터치 패드 등으로 구성될 수 있다.
"Registers can be used as operands for load operations, store operations, and arithmetic logic unit (ALU) operations.","레지스터는 로드 연산, 저장 연산 및 ALU(산술 논리 장치) 연산을 위한 피연산자로 사용할 수 있다."
"This fixation is easier than the embodiments of FIGS. 2A and 2B, at least for a smartphone.",이러한 고정은 적어도 스마트폰의 경우에는 도 2a 및 2b의 실시예보다 더 용이하다.
"In a classification application, the results obtained by the convolutional neural network can be compared with actual data.","분류 애플리케이션에서, 컨볼루션 신경망에 의해 획득된 결과는 실제 자료와 비교될 수 있다."
"In operation 1410, device 100 may provide a setting window in which a recommendation condition may be input.","단계 1410에서, 디바이스(100)는, 추천 조건을 입력할 수 있는 설정 창을 제공할 수 있다."
MTIR 140 maintains a mapping between temporary identifiers and permanent identifiers.,MTIR(140)은 일시적 식별자들과 영구적 식별자들 간의 매핑을 보유한다.
Each of these steps is monitored or formed using a transaction ID.,이러한 단계들의 각각의 단계는 트랜잭션 ID를 사용하여 모니터링되거나 또는 형성된다.
"In some embodiments, location-based criteria include whether device 600 is less than a threshold distance from the location.","일부 실시예들에서, 위치-기반 기준들은 디바이스(600)가 위치로부터 임계 거리 미만인지 여부를 포함한다."
"In some configurations, the criteria may be based on conditions corresponding to the user's account.","일부 실시예에서, 기준은 사용자의 계정에 대응하는 조건에 기초할 수 있다."
An electronic device according to various disclosed embodiments may be a device of various types.,개시된 다양한 실시예들에 따른 전자 장치는 다양한 형태의 장치가 될 수 있다.
"Embodiments of the present invention perform such transmission, control and/or monitoring.","본 발명의 실시예들은 이와 같은 전송, 제어 및/또는 감시를 수행한다."
Processor 404 may detect a gesture including detection of an object at a plurality of heights.,프로세서(404)는 복수의 높이에서 물체의 검출을 포함하는 제스처를 검출할 수 있다.
A protective glass 4 made of a low-reflective film is installed on the front of the media display monitor 5.,상기 미디어 표시용 모니터(5)의 전면에는 저반사필름으로 된 보호유리(4)가 설치되어 있다.
"Depending on the technology, the lighting will be illuminated forward by either a white source or an RGB source.",조명은 기술에 의존하여 백색 소스 또는 RGB 소스 중 어느 하나에 의해 전방으로 비추게 된다.
"In some examples, event definition 187 includes a definition of an event for a respective user interface object.","일부 예들에서, 이벤트 정의(187)는 각자의 사용자 인터페이스 객체에 대한 이벤트의 정의를 포함한다."
The two first touch electrodes are spaced apart from each other with at least one first touch electrode therebetween.,두 개의 제1 터치 전극은 적어도 하나의 제1 터치 전극을 사이에 두고 서로 이격되어 있다.
User equipment devices may be coupled to the communication network 1014.,사용자 장비 디바이스들은 통신 네트워크(1014)에 결합될 수도 있다.
Door 71 may be provided with window 72 to look outside or to see the inside from the outside.,도어(71)에는 밖을 내다 보거나 밖에서 안을 볼 수 있는 윈도우(72)가 설치될 수 있다.
"The visual indicator may be a direction arrow, an LED light, a text message (e.g., move left, move up), and the like.","시각적 인디케이터는 방향 화살표, LED 조명, 문자 메쉬지(예를 들어, 왼쪽으로 이동, 위로 이동) 등 일 수 있다."
"Optionally, this graphical structure is configured or received by a user of device 940.","선택적으로, 이 그래픽 구조는 디바이스(940)의 사용자에 의해 구성되거나 수신된다."
"In addition, an electronic device having a touch screen may display an image through the touch screen.","아울러, 터치스크린을 구비한 전자 장치는 터치스크린을 통하여 이미지를 표시할 수 있다."
"The above composition is used in a sense encompassing individuals, corporations, associations, and organizations.","상기 구성은 개인, 법인, 조합, 단체 등을 포괄하는 의미로 사용된다."
"The parameter and at least one item to be changed may be determined based on a key input, a touch input, or a voice input.","파라미터와 변경되는 적어도 하나의 아이템은, 키 입력, 터치 입력 또는 음성 입력에 기반하여 결정될 수 있다."
The present disclosure provides improved systems and methods for the treatment of tissues such as uterine fibroids.,본 발명개시는 자궁 섬유종과 같은 조직의 치료를 위한 개선된 시스템 및 방법을 제공한다.
The server device 104 can query the user account database 116 using the account data.,서버 디바이스(104)는 계정 데이터를 사용하여 사용자 계정 데이터베이스(116)에 질의할 수 있다.
The event stream history database may correspond to the history database 40_120.,이벤트 스트림 이력 데이터베이스는 이력 데이터베이스(40_120)에 대응할 수 있다.
The viewer information field 55 is an area for displaying information of the user U watching the moving image screen 41.,"시청자 정보란(55)은, 동화상 화면(41)을 시청 중인 유저 U의 정보를 표시하기 위한 영역이다."
It can be seen that each node of the tree has its own auxiliary tree to achieve its purpose through the lower note.,트리의 각 노드는 하위 노트를 통해서 해당 목적을 달성하기 위한 각각의 보조 트리를 가지는 것을 볼 수 있다.
"In this implementation, the client interface 132 enters mouse mode at stage 510.","이러한 구현에서, 클라이언트 인터페이스(132)는 스테이지(510)에서 마우스 모드에 진입한다."
"Accordingly, the coordinate measuring apparatus may determine the pen pressure based on the change of the resonance frequency.","이에 따라, 좌표 측정 장치는 공진 주파수의 변경에 기초하여 필압을 결정할 수 있다."
The device determines side sliding directions of the menu page and the main page according to the first sliding direction.,단말기는 제1 슬라이딩 방향에 따라 메뉴 페이지 및 메인 페이지의 사이드 슬라이딩 방향을 결정한다.
"In some aspects, the first memory and the second memory are each a buffer having a first data storage capacity.","일부 양태들에서, 제1 메모리 및 제2 메모리는 각각 제1 데이터 저장 용량을 갖는 버퍼이다."
"Additional interfaces can be presented, for example, when content is presented to the user.","추가적인 인터페이스들은, 예를 들어, 콘텐츠가 사용자에게 제공된 때 프리젠테이션될 수 있다."
Display panel 410 may receive an image driving signal transmitted from display driving circuit 420.,디스플레이 패널(410)은 디스플레이 구동 회로(420)로부터 전송된 영상 구동 신호를 수신할 수 있다.
The top ranked pair (user apparel) always corresponds to the dataset used to train the model.,최상위 랭킹 쌍(사용자 의복)은 항상 모델을 트레이닝하는 데 사용된 데이터세트에 대응한다.
The experiential learning system uses 3D to visit museums and learn English with native speakers.,체험형 학습 시스템은 3D를 이용하여 박물관 견학이나 원어민과의 영어 학습 등을 수행할 수 있도록 한다.
The smart device may also output a voice guide requesting confirmation of the first video playback.,스마트 디바이스는 1번 영상 재생의 확인을 요청하는 보이스 가이드를 함께 출력할 수도 있다.
"In addition or alternative to one or more of the above examples, the scenegraph may correspond to a version of the versioned scenegraph.","위의 예들 중 하나 이상에 부가적으로 또는 대안적으로, 장면그래프는 버전화된 장면그래프의 버전에 대응할 수 있다."
The control signals CS0 to CSn are set to sequentially perform a test procedure for pairs of devices under test.,제어 신호들(CS0∼CSn)은 피시험 장치의 쌍들에 대해 시험 절차를 순차로 행하도록 설정된다.
Non-contact gesture sensors may include cameras using modified lenses.,비접촉 제스쳐 센서들은 개조된 렌즈를 이용하는 카메라들을 포함할 수 있다.
The still image may be a picture of an actor or a screen shot from a television program.,정지 영상은 배우의 사진이거나 텔레비전 프로그램으로부터의 스크린 샷일 수 있다.
"When neural network variables are updated using the calculation result, cluster communication may be performed between accelerators.","연산 결과를 이용하여 뉴럴 네트워크 변수들을 업데이트 하는 경우, 가속기들 사이에 군집 통신이 수행될 수 있다."
Ransomware 110 may penetrate and execute the computer system 100 through various paths.,랜섬웨어(110)는 다양한 경로를 통하여 컴퓨터 시스템(100)에 침투하여 실행될 수 있다.
The control unit determines the type of the touch object by using the detection signal received during the second period by the touch driver.,제어부는 터치 구동부에 의해 제2 구간 동안 수신되는 감지 신호를 이용하여 터치 객체의 종류를 결정한다.
"The smell, taste, and touch, etc., haven’t yet developed in computer, and only some visual and auditory functions have been implemented.","컴퓨터는 후각, 미각, 촉각 등은 아직 개발되어 있지 않고 시각과 청각 기능만이 어느 정도 구현된 상태이다."
"As shown in FIG. 3B, the recognized text may be output through display unit 151.",도 3(b)에서와 같이 디스플레이부(151)를 통해 상기 인식된 글씨를 출력할 수 있다.
"In various embodiments, the directional haptic pattern may be a directional vibration pattern of a vibration device.","다양한 실시 예들에서, 방향성 햅틱의 패턴은 진동 장치의 방향성 진동 패턴일 수 있다."
The security procedure may include automatically performing a filtering procedure that controls the recipient of the data.,보안절차는 데이터의 수신자를 제어하는 필터링 절차를 자동으로 수행하는 것을 포함할 수 있다.
The controller 180 may provide a user with an effect of sinking at least a portion of the event notification information.,제어부(180)는 이벤트 알림 정보의 적어도 일부가 가라앉는 효과를 사용자에게 제공할 수 있다.
The example of FIG. 3 shows the case where the comments of each user are added while viewing a moving image.,"도 3의 예는, 각 유저의 코멘트가 동화상의 시청 중에 부가되는 경우를 나타내고 있다."
Map view 1802 is substantially centered on a location related to the automation profile.,지도 보기(1802)는 자동화 프로파일과 연관된 위치에 실질적으로 중심을 둔다.
The computational unit 124 may include one or more arithmetic logic units (ALUs) and/or one or more hardware adders.,연산 유닛(124)은 하나 이상의 산술 논리 유닛(ALU) 및/또는 하나 이상의 하드웨어 가산기를 포함할 수 있다.
"At the same time, the level of interruption provided is, for the most part, not correlated with the perceived user importance of the reminder.","동시에, 제공된 인터럽션 수준은, 대부분은, 리마인더의 인지된 사용자 중요도와 연관이 없다."
"In the selection mode, the ship design apparatus 1 may display a user interface 60 for selecting an equipment.",선택 모드에서 선박 설계 장치(1)는 의장품 선택을 위한 사용자 인터페이스(60)를 표시할 수 있다.
This allows the user to further customize the watch face to display the specified color.,이것은 사용자가 시계 문자판을 추가로 맞춤화하여 지정된 컬러를 디스플레이할 수 있게 한다.
Text bar 602 also provides subcategories to the right of the selected category.,텍스트 바(602)는 선택된 카테고리의 우측에 서브카테고리도 제공한다.
The predictive model will be determined using the history of interaction data corresponding to a particular event as input to the training procedure.,예측 모델은 특정 이벤트에 대응하는 상호 작용 데이터 이력을 훈련 절차에 대한 입력으로서 사용하여 결정될 것이다.
It is assumed that chip 23 stores application data 30 corresponding to the bank transaction in the log 83.,칩(23)은 은행 거래에 상응하는 응용 데이터(30)를 로그(83)에 저장하는 것으로 가정된다.
A disk-shaped gradient based input device may be used to detect this input.,디스크 형상 기울기 기반 입력 디바이스는 이러한 입력을 검출하는 데 사용될 수 있다.
The plurality of scales may be arranged at regular intervals along a vertical straight line of the barometer BR.,복수의 눈금은 바로미터(BR)의 세로방향 직선을 따라 일정한 간격으로 배치될 수 있다.
"Gestures may include a user motion pattern, sign, finger or hand position, etc. performed on the dynamic input area 128.","제스처는 동적 입력 영역(128)에 대해 수행되는 사용자 모션 패턴, 사인, 손가락 또는 손 위치 등을 포함할 수 있다."
The image analysis engine 615a may modify the region of interest based on the user's feedback.,이미지 분석 엔진(615a)은 상기 사용자의 피드백에 기초하여 관심 영역을 수정할 수 있다.
Reference is now made to FIG. 5 which depicts a method 500 of additional steps for determining a haptic effect.,"이제, 햅틱 효과를 결정하기 위한 추가 단계들의 방법(500)을 묘사하는 도 5를 참조한다."
Any of a variety of methods and apparatus may be provided to allow a user to manage an immersive environment.,임의의 다양한 방법 및 장치가 사용자로 하여금 몰입형 환경을 관리하는 것을 허용하도록 제공될 수 있다.
Embodiment 29 is a method of performing the ambient computing system operation of any one of Embodiments 1-28.,실시예 29는 실시예 1-28 중 어느 하나의 앰비언트 컴퓨팅 시스템 동작을 수행하는 방법이다.
The inspection is continued only when the obtained temperature fluctuation is within the predetermined allowable fluctuation range.,취득한 온도의 변동이 미리 정한 허용 변동 범위 내인 경우에 한하여 검사를 계속하는 것이다.
These functions are executed through an application called an app in the smartphone.,이러한 기능은 스마트폰 내 일명 앱이라 불리는 어플리케이션을 통해서 실행된다.
"In yet other embodiments, the content may be e-books or any electronic means of displaying a book.","또 다른 실시예들에서, 콘텐츠는 e-책들 또는 책을 디스플레이하는 임의의 전자 수단일 수 있다."
The present disclosure provides methods and systems for patient-specific prosthesis alignment and positioning.,본 개시는 환자 맞춤형 보철물 얼라인먼트 및 포지셔닝 방법들과 시스템들을 제공한다.
Summary information on the received message may be displayed on the message notification window 3050.,메시지 알림창(3050)에는 수신된 메시지에 관한 요약 정보가 표시될 수 있다.
This type of speech input represents a user request for non-user-specific information.,이런 유형의 스피치 입력은 비-사용자-특정 정보에 대한 사용자 요청을 표현한다.
The driving electrodes DE and the sensing electrodes SE may be made of an opaque conductive material.,상기 구동 전극들(DE) 및 상기 센싱 전극들(SE)은 불투명한 도전 물질로 이루어질 수 있다.
Suppose a person prefers to paint with his left hand instead of his right hand.,사람이 오른손 대신에 왼손을 사용하여 페인팅하는 것을 선호한다고 가정한다.
Touch of arrow button 1002 provides operability similar to a move.,화살표 버튼(1002)의 터치는 무브와 유사한 조작성을 제공한다.
"To try to avoid overdischarging the battery during long storage, in the past, the only option was a passive process.","긴 저장 동안 배터리의 과다 방전 방지를 시도하기 위해, 과거에는, 유일한 선택지가 수동적인 프로세스였다."
"In one example, the joint motor 21 is a servo motor, such as a permanent magnet brushless motor.","일 예에서, 조인트 모터(21)는, 영구 자석 무브러시 모터와 같은, 서보 모터이다."
"If the user changes the field of view, the content may change its position to follow the change of field of view.","만약 사용자가 시야를 변경하면, 콘텐츠는 시야 변경을 따르도록 포지션을 변경할 수 있다."
Pushbutton switch 24 cooperates with controller 22 to perform a device function in response to its operation.,푸시버튼 스위치(24)는 그 동작에 응답하여 디바이스 기능을 수행하기 위해 제어기(22)와 협력한다.
Context data 124 may be context data provided together with map data 122.,컨텍스트 데이터(124)는 맵 데이터(122)와 함께 제공되는 상황 데이터일 수 있다.
The digital device 400 may determine whether the grip pattern is a grip by a right hand or a left hand.,디지털 디바이스(400)는 그립 패턴이 오른손 또는 왼손에 의한 그립인지 여부를 결정할 수도 있다.
"On the other hand, if the user participates less, a stronger signal is provided to the user to attract additional attention.","반면에, 사용자가 더 적게 참여하는 경우, 더 강한 신호가 추가적 주의를 끌기 위해 사용자에게 제공된다."
"That is, the display device may determine the next image of the first image according to the direction of the touch input corresponding to the first input signal.","즉, 디스플레이 장치는 제1 입력 신호에 대응하는 터치 입력의 방향에 따라 제1 이미지의 다음 이미지를 결정할 수 있다."
"According to this configuration, the network activity may include one or more of information leakage and specific port opening.","일 실시 예에 따르면, 상기 네트워크 행위는, 정보 유출 및 특정 포트 오픈 중 어느 하나 이상을 포함할 수 있다."
The predetermined call sequence 306 may be stored in the call sequence exchange table 310.,상기 미리 정해진 콜 시퀀스(306)는 콜 시퀀스 교환표(310)에 저장될 수 있다.
A similar Bayesian approach may be performed by the image analysis module during intra-image analysis.,유사한 베이지안 접근법이 이미지내 분석 동안 이미지 분석 모듈에 의해 수행될 수 있다.
The display device may control the volume control interface according to the length dragged by the user.,디스플레이 디바이스는 사용자가 드래그한 길이에 대응하여 볼륨 컨트롤 인터페이스를 제어할 수 있다.
"Here, the inactive state includes a state in which information is not displayed on the touch screen and a case in the AOD mode.","여기에서 비활성화 상태는, 터치 스크린에 정보가 표시되지 않는 상태와, AOD 모드인 경우를 포함한다."
The requester terminal 20 is connected to a communication network and enables server-client communication with the block chain operation server 10.,요청자 단말기(20)는 통신망에 연결되어 블록체인 운영서버(10)와 서버-클라이언트 통신이 가능하다.
MACs may be generated using one-way hash algorithms on the data.,MAC들은 데이터에 일방향 해시 알고리즘들을 사용하여 생성될 수 있다.
The power management module 295 may manage power of the hardware 200.,상기 전력관리 모듈 295은 상기 하드웨어 200의 전력을 관리할 수 있다.
"Security modules may restrict access to information to prevent IP piracy, identity theft, service theft and device duplication.","보안 모듈들은 IP 불법복제, 신분 도용, 서비스 도용 및 장치 복제를 방지하기 위해 정보에 대한 접근을 제한할 수 있다."
The second motion associated with the second object is distinct from the first motion associated with the first object.,제2 객체와 연관된 제2 동작은 제1 객체와 연관된 제1 동작과 구별된다.
"Two additional interleavers 26 and 28 are added, one before and one after modulator 30.",변조기(30)의 전에 하나 및 후에 하나인 2개의 부가적인 인터리버(26 및 28)가 부가된다.
The user 1 designates a location change target window for which the location is to be changed as the fourth window 1604.,사용자(1)는 위치를 변경하고자 하는 위치 변경 대상 윈도우를 제4 윈도우(1604)로 지정한다.
A signal indicating that the memory of the computer included in the user environment 2301 needs to be cleaned may be received.,사용자 환경(2301)에 포함된 컴퓨터의 메모리 정리가 필요함을 나타내는 신호를 수신할 수 있다.
The service ID column stores information on the top-level domain or the next-level domain of the cooperative service.,서비스 ID의 열은 협력 서비스의 최상위 도메인 또는 차상위 도메인에 관한 정보를 저장한다.
The curvature of the touch unit 110 may be determined so that the user feels comfortable when inputting a gesture.,터치부(110)의 곡률은 사용자가 제스처를 입력할 때에 느끼는 사용감이 편하도록 정해질 수 있다.
"The first terminal is an internal network PC connected to the internal network, and the second terminal may be implemented as a mobile phone capable of wireless communication.","상기 제1 단말은 내부망과 연결된 내부망 PC이며, 상기 제2 단말은 무선통신이 가능한 휴대폰으로 구현될 수도 있다."
All calls to cloud-based servers may be required to have a valid content token.,클라우드-기반 서버들에 대한 모든 콜들(calls)은 유효한 콘텐츠 토큰을 갖도록 요구될 수 있다.
"Currently, there are three methods of implementing mobile payment using a mobile device.","현재, 이동 단말을 이용하여 모바일 결제를 구현하는 방법에는 세 가지가 있다."
This information can be used to determine if the component should be tested or not.,이 정보는 컴포넌트가 테스트 되어야 하는지 아닌지를 결정하는 데 사용될 수 있다.
The dot pattern of this embodiment is a dot pattern composed of multiple rows and multiple columns.,"본 실시형태의 도트 패턴은, 복수의 행과 복수의 열로 이루어지는 도트 패턴이다."
"By bending at the point of landing, a collision impact applied to the flexible display device can be distributed throughout the device.","착지시점에 벤딩함으로써, 플렉서블 디스플레이 장치에 가해지는 충돌 충격을 기기 전체로 분산할 수 있다."
Touch display 23 is also received by device housing 21 and is coupled to controller 22.,터치 디스플레이(23)는 또한 디바이스 하우징(21)에 의해 수용되고 제어기(22)에 결합된다.
"Thereafter, the control proceeds to Step 835, and the generated video may be output to the user through the display screen.","그 후, 제어는 단계(835)로 진행하여, 발생된 동영상은 디스플레이 스크린을 통해 사용자에게 출력이 가능하다."
"In operation 408, controller 229 activates one or more driver slices.","동작(408)에서, 컨트롤러(229)는 하나 이상의 드라이버 슬라이스를 활성화한다."
"When the desired key pose is the right hand and the left hand of a human character, select both hands.",원하는 키포즈가 사람 캐릭터의 오른쪽 손과 왼쪽 손일 때 해당하는 양손을 모두 선택을 한다.
The SSM-SVM algorithm may be encoded based on these analysis calculations.,SSM-SVM 알고리즘은 이들 분석 계산들에 기반하여 인코딩될 수 있다.
"Here, the threshold value of the vehicle speed is set to a value capable of determining that the vehicle 1 is traveling, such as 10 km/h, for example.","여기서, 차속의 역치는, 예를 들어 10㎞/h 등의 차량(1)이 주행 중이라고 판정할 수 있는 값으로 설정되어 있다."
The treatment process further provided by the diagnostic device is based on a speech correction protocol.,진단 장치가 추가로 제공하는 치료 과정은 언어 교정 프로토콜에 기반한다.
"When Jessica and Subject 3 are hidden, the position and size of the scroll bar 50 are automatically readjusted to fit the entire list.",상기 제시카와 Subject 3가 숨겨지면 전체 목록 맞게 스크롤 바(50)의 위치 및 크기가 자동으로 재조정된다.
"In this configuration, a directional haptic corresponding to a directional haptic event may be a vibration in a direction from bottom to top.","일 실시 예에서, 방향성 햅틱 이벤트에 대응되는 방향성 햅틱이 하단에서 상단으로 향하는 방향의 진동일 수 있다."
"Next, heating time collection unit 220 collects the heating time point at which the user inputs identity authentication information through the keyboard.",다음으로 히팅 시점 수집부(220)는 사용자가 키보드를 통해 본인인증 정보를 입력하는 히팅 시점을 수집한다.
"To this end, the document recording module 150 accesses the data storage 30 through a network interface.",이를 위해 문서기록모듈(150)은 네트워크 인터페스를 통해 데이터 저장소(30)에 접속한다.
"Additionally, proposal affordance 830A is associated with a task to open a memo application.","추가로, 제안 어포던스(830A)는 메모 애플리케이션을 열기 위한 태스크와 연관된다."
Various database tuning steps are considered to optimize database performance.,다양한 데이터베이스 튜닝 단계들이 데이터베이스 성능을 최적화하기 위해 고려된다.
The schedule application screen includes a plurality of date areas corresponding to a specific month.,일정 어플리케이션 화면은 특정 달에 대응하는 다수의 날짜 영역을 포함한다.
"Regardless of whether the user needs to use the application, the application icon is always displayed there.","사용자가 애플리케이션을 사용할 필요가 있는지 여부와 무관하게, 해당 애플리케이션 아이콘은 항상 그곳에 표시된다."
"First of all, the device may be switched to a mode by a touch input 403.","우선, 디바이스는 터치 입력(403)에 의해 모드가 전환될 수 있다."
"In some configurations, detection of contacts with different intensities results in the device performing different functions.","일부 실시예들에서, 상이한 세기들을 갖는 접촉들의 검출은 디바이스가 상이한 기능들을 수행하는 것을 초래한다."
"However, if the user detects whether or not the display device is in a gripped state, the accuracy may be improved.","다만, 사용자가 디스플레이 장치를 그립(grip)한 상태인지 여부 등을 함께 디텍팅 하면, 정확도를 높일 수 있다."
Mechanical security may be reinforced by locking the PC module and the case simultaneously with a locking device.,장금장치로 PC모듈과 케이스를 동시에 잠궈 기구적 보안을 강화할 수 있다.
The infrared sensor 124 may be connected to a cradle connected to the upper side of the frame of the environment creation device 120.,"적외선 센서(124)는, 환경 조성 장치(120) 프레임의 상측에 연결되는 거치대에 연결될 수 있다."
"Examples of biometric data include fingerprints, irises, faces, and voices, and various other information related to biometrics may be used.","생체 데이터의 예로는, 지문, 홍채, 얼굴, 목소리 등이 있으며, 그 밖에 생체와 관련된 다양한 정보가 사용될 수 있다."
The digital assistant determines that the user intention is to obtain a list of available Wi-Fi networks.,디지털 어시스턴트는 사용자 의도가 이용가능한 Wi-Fi 네트워크들의 목록을 획득하는 것이라고 결정한다.
The non-perspective display may be configured to render images for viewing by a user.,상기 비-투시 디스플레이는 사용자가 볼 수 있도록 이미지들을 렌더링하도록 구성될 수 있다.
"If the virtual message object is not successfully sent to the recipient, it will remain in virtual message environment 210.","만약 가상 메시지 객체가 수신자에게 성공적으로 송신되지 않으면, 이는 가상 메시지 환경(210)에 남을 것이다."
"In the above-described embodiment, the video display device precisely searches for a playback time of a video using a precision search bar.",상술한 실시 예에서 영상 표시 장치는 정밀 탐색 바를 이용하여 동영상의 재생 시점을 정밀 검색한다.
The first instrument may comprise a cable and the second instrument may comprise a lead screw.,상기 제1 기구는 케이블을 포함할 수 있고 상기 제2 기구는 리드 스크루를 포함할 수 있다.
The Hall sensor may sense a magnetic field generated by a magnetic material by using a property of changing a voltage according to the strength of the magnetic field.,상기 홀 센서는 자기장의 세기에 따라 전압이 변하는 성질을 이용하여 자성체가 생성하는 자기장을 감지할 수 있다.
The natural language recognition database 425 may include personal information.,자연어 인식 데이터베이스(425)에는 개인 정보 등이 포함될 수 있다.
"The terminal corresponding to the reception of the first user input may automatically execute a specific task according to control settings, and circumstances.","제1 사용자 입력의 수신에 대응하는 터미널은 제어 세팅, 상황 등에 따라 자동적으로 특정 작업을 실행할 수 있다."
The optical sensor may use a line camera capable of recognizing a line image.,상기 광학 센서는 라인이미지를 인식할 수 있는 라인카메라를 사용할 수 있다.
"The highlighted circle around the middle circle represents, in one example, the number of tweets received within a predetermined time.","중간의 원 주위의 강조된 원은, 일례에서, 소정의 시간 내에 수신된 트윗의 수를 나타낸다."
"Memory 504 may also be another type of computer-readable medium, such as a magnetic or optical disk.","메모리(504)는 또한 자기 또는 광 디스크와 같이, 또 다른 형태의 컴퓨터-판독 가능한 매체일 수 이다."
Selecting the Prepress tab displays various setting controls for setting processes in the prepress category.,"프리프레스 탭을 선택하면, 프리프레스 카테고리의 공정을 설정하기 위한 다양한 설정 컨트롤이 표시된다."
The computer device functioning as a web server may be a plurality of distributed computer devices.,웹 서버로 기능하는 컴퓨터 장치는 분산된 복수의 컴퓨터 장치일 수 있다.
"In this invention, such a neutral (vowel) input error may be conveniently corrected.",본 발명에서는 이러한 중성(모음)의 입력 오류를 편리하게 수정할 수 있다.
"As a specific example, such a cover assembly is made of or includes a magnesium aluminum (Mg-Al) composite.","특정한 예시로서, 이러한 커버 어셈블리는 마그네슘 알루미늄(Mg-Al) 합성물로 제작되거나 이것을 포함한다."
Two objects to which priority 1 712a is assigned may collide or cross each other.,우선 순위 1(712a)이 할당된 2개의 오브젝트들은 충돌하거나 또는 서로 교차할 수 있다.
This case also leads to activation of the desktop screen in the switched account environment at this time.,이 경우는 또한 이때 전환된 계정 환경에서의 데스크톱 화면의 활성화로 이어진다.
The coded bit stream on line 4034 is further bit-interleaved.,라인(4034) 상의 상기 코딩된 비트 스트림은 더욱 비트-인터리빙된다.
Detection module 30 is configured to detect a service program executing a target process.,검출 모듈(30)은 타겟 프로세스를 실행하는 서비스 프로그램을 검출하도록 구성된다.
"During the second pen synchronization signal period P2, the pen operates in a signal reception mode to receive the pen synchronization signal PS.","제2펜 동기 신호 구간(P2) 동안에, 펜은 펜 동기 신호(PS)를 수신하기 위해 신호 수신 모드로 동작한다."
The sensing voltage may be generated in response to the first sensing signal or the second sensing signal.,센싱전압은 제1센싱신호 또는 제2센싱신호에 대응하여 생성될 수 있다.
Display 340 may include multiple data lines and multiple gate lines.,디스플레이(340)은 복수의 데이터 라인들과 복수의 게이트 라인들을 포함할 수 있다.
"The preset reference time may include 1.5 s, 2 s, 3 s, and the like.","미리 설정된 기준 시간은 1.5초, 2초, 3초 등을 포함할 수 있다."
"In the physical network separation environment, the network used for business is an independent network that cannot use the Internet.","물리적 망분리 환경에서, 업무 시 사용하는 망은 인터넷 사용 불가능한 독립적인 망이다."
The main memory device can be implemented using a semiconductor storage medium such as ROM and/or RAM.,주기억장치는 롬(ROM) 및/또는 램(RAM)과 같은 반도체 저장 매체를 이용하여 구현 가능하다.
A method of manufacturing a grippable controller having a grip configured to be grippable by hand is also disclosed.,손으로 파지 가능하도록 구성된 그립부를 갖는 파지 가능한 컨트롤러를 제조하는 방법이 또한 개시된다.
Neurons at each level individually or collectively make decisions based on received data from synapses.,각 레벨의 뉴런은 개별적으로 또는 집합적으로 시냅스들로부터의 수신된 데이터에 기초하여 결정을 행한다.
"At least one of a shape, color, and position of the object OB may be changed over time.","오브젝트(OB)는, 시간의 경과에 따라서 형상, 색상, 위치 중 적어도 하나가 변경될 수 있다."
